Stadium_Name,Locality,Federative_Units,Owner,Capacity
Complexo Esportivo da ULBRA,Canoas,RS,Privado,10000
Vila Olímpica,Curitiba,PR,Privado,10000
VGD,Londrina,PR,Privado,10000
Nogueirão,Mossoró,RN,Privado,10000
Luís Augusto de Oliveira,São Carlos,SP,Governo Municipal,10000
Distrital do Inamar,Diadema,SP,Governo Municipal,10000
Aryzão,Campos dos Goytacazes,RJ,Privado,10000
Jair Siqueira Bittencourt,Itaperuna,RJ,Privado,10000
Arena Guanabara,Araruama,RJ,Privado,10000
Odair Gama,Três Rios,RJ,Privado,10000
Aluizão,Porto Velho,RO,Governo Municipal,10000
Canarinho,Boa Vista,RR,Governo Estadual,10000
Augustinho Lima,Sobradinho,DF,Governo Distrital,10000
Frei Epifânio,Imperatriz,MA,Governo Municipal,10000
Presidente Médici,Itabaiana,SE,Governo Estadual,10000
Nilton Santos,Palmas,TO,Governo Estadual,10000
Ribeirão,Tocantinópolis,TO,Privado,10000
Passo das Emas,Lucas do Rio Verde,MT,Governo Municipal,10000
Arena Verde,Paragominas,PA,Governo Municipal,10000
Rosenão,Parauapebas,PA,Governo Municipal,10000
Arena do Juruá,Cruzeiro do Sul,AC,Governo Estadual,10000
